,Candidate ID,Date of Application,Date of Interview,Date of Job Offer,Date of Offer extension,Date of Joining,Offered band,Offered Salary,Percentage hike offered (CTC),Joining bonus amount,LOB,Joining location,Candidate relocation status,Acceptance status,Notice period,Current CTC,Current gross salary,Current organization,Highest Educational Degree,Total experience,Relevant experience,Year of graduation,Expected CTC,Percentage hike (CTC) expected ,Gender,Candidate source,DOB,Location,Number of precious jobs,Written Test Date,Interview rounds,Date of first Interview,Date of last Interview,Interview types,Interview Types2,First interview duration,Last interaction duration
0,C1,2019-08-28,2020-06-12,2020-06-22,2020-06-29,2020-07-14,B2,1383755.4375,0.19038293726642053,58122.28125,IT,NCR,Yes,Joined,0,1162445.625,1033285,IBM,Diploma,8,7.2,2012,1500000,0.2903829372664205,M,Direct,1991-11-06,Kolkata,2,2020-05-29,4,2020-06-03,2020-06-12,General,Online,40,25
1,C2,2019-11-28,2020-06-08,2020-06-18,2020-06-25,2020-07-10,B4,2976589.7375,0.3323424377159039,111705.13125,Manufacturing,NCR,Yes,Offer Rejected,0,2234102.625,1985869,Mahindra,Diploma,15,13.5,2005,3200000,0.4323424377159039,M,Agency,1984-02-22,Pune,4,2020-05-31,2,2020-06-05,2020-06-08,Managerial,FaceToFace,40,40
2,C3,2019-08-11,2020-05-26,2020-06-05,2020-06-12,2020-07-12,B0,741663.1249999999,0.27134531117753546,29168.4375,IT,Chennai,No,Joined,30,583368.75,518550,Infosys,Diploma,4,3.6,2016,800000,0.37134531117753566,M,Direct,1995-03-27,Chennai,1,2020-05-15,3,2020-05-20,2020-05-26,Technical,Online,45,60
3,C4,2019-08-18,2020-05-15,2020-05-25,2020-06-01,2020-07-31,C6,4079723.525,0.27381304699322667,160138.23750000002,Finance,Hyderabad,No,Offer Rejected,60,3202764.75,2846902,JP Morgun,Diploma,20,18.0,2000,4400000,0.3738130469932267,M,Direct,1979-06-14,Hyderabad,6,2020-05-10,1,2020-05-15,2020-05-15,Technical,Written,40,40
4,C5,2019-09-06,2020-01-25,2020-02-04,2020-02-11,2020-02-26,B5,3340936.2374999993,0.28961928339939064,129531.88125,IT,Mumbai,Yes,Joined,15,2590637.625,2302789,HCL,Diploma,17,15.3,2003,3600000,0.3896192833993909,M,Employee referral,1982-11-26,Hyderabad,5,2020-01-11,4,2020-01-16,2020-01-25,Technical,Online,15,25
5,C6,2019-10-08,2020-02-27,2020-03-08,2020-03-15,2020-04-14,C6,4373291.899999999,0.33859304375985766,163354.05000000002,Finance,Mumbai,Yes,Joined,30,3267081.0,2904072,HSBC,Diploma,20,18.0,2000,4700000,0.4385930437598578,F,Direct,1979-08-19,Bangaluru,6,2020-02-22,1,2020-02-27,2020-02-27,Managerial,Online,40,40
6,C7,2019-07-31,2020-04-29,2020-05-09,2020-05-16,2020-06-30,B3,2706252.0499999993,0.396790030552581,96873.975,IT,Chennai,Yes,Offer Rejected,45,1937479.5,1722204,Accenture,Diploma,12,10.8,2008,2900000,0.4967900305525813,F,Employee referral,1987-05-22,Kolkata,4,2020-04-18,3,2020-04-23,2020-04-29,Technical,FaceToFace,30,60
7,C8,2019-09-13,2020-03-31,2020-04-10,2020-04-17,2020-06-16,B0,556952.1,0.2937962130556891,21523.95,IT,Mumbai,Yes,Offer Rejected,60,430479.0,382648,Accenture,Master,3,2.7,2017,600000,0.3937962130556891,M,Direct,1993-11-27,Chennai,1,2020-03-23,2,2020-03-28,2020-03-31,Managerial,Written,15,60
8,C9,2019-12-24,2020-06-26,2020-07-06,2020-07-13,2020-08-12,B5,2668414.25,0.15223594284190628,115792.875,Manufacturing,Pune,Yes,Offer Rejected,30,2315857.5,2058540,L & T,Master,16,14.4,2004,2900000,0.2522359428419063,M,Employee referral,1980-10-06,Kolkata,5,2020-06-21,1,2020-06-26,2020-06-26,Technical,FaceToFace,30,30
9,C10,2019-10-03,2020-04-04,2020-04-14,2020-04-21,2020-05-06,B4,2683619.9749999996,0.24023461731275778,108190.01250000001,IT,Pune,Yes,Joined,0,2163800.25,1923378,TCS,Diploma,15,13.5,2005,2900000,0.34023461731275795,M,Direct,1984-03-27,Hyderabad,4,2020-03-24,3,2020-03-29,2020-04-04,Technical,FaceToFace,20,30
10,C11,2019-07-31,2020-05-03,2020-05-13,2020-05-20,2020-07-19,B2,1469371.075,0.12484357886279777,65314.4625,Finance,Hyderabad,Yes,Joined,60,1306289.25,1161146,Bajaj Finance,Bachelors,9,8.1,2011,1600000,0.2248435788627978,M,Direct,1989-12-11,Kolkata,3,2020-04-25,2,2020-04-30,2020-05-03,Managerial,FaceToFace,45,30
11,C12,2019-07-02,2020-05-27,2020-06-06,2020-06-13,2020-07-28,B0,651492.7,0.34308176295114334,24253.65,Manufacturing,NCR,Yes,Joined,45,485073.0,431176,L & T,Diploma,4,3.6,2016,700000,0.44308176295114343,F,Agency,1995-10-30,Bangaluru,1,2020-05-16,3,2020-05-21,2020-05-27,Managerial,FaceToFace,45,15
12,C13,2019-10-12,2020-06-26,2020-07-06,2020-07-13,2020-07-28,C6,3793303.2874999996,0.23682554552977142,153348.35625,Finance,Mumbai,No,Joined,0,3066967.125,2726193,HSBC,Bachelors,19,17.1,2001,4100000,0.3368255455297715,M,Direct,1979-02-14,Mumbai,6,2020-06-21,1,2020-06-26,2020-06-26,Technical,FaceToFace,20,20
13,C14,2019-10-05,2020-01-13,2020-01-23,2020-01-30,2020-02-14,B2,1194965.7249999999,0.13769122031831976,52517.137500000004,IT,Hyderabad,Yes,Joined,0,1050342.75,933638,Infosys,Diploma,7,6.3,2013,1300000,0.2376912203183199,F,Employee referral,1992-08-21,Mumbai,2,2020-01-05,2,2020-01-10,2020-01-13,Managerial,FaceToFace,60,60
14,C15,2019-08-01,2020-02-29,2020-03-10,2020-03-17,2020-05-01,B2,1297940.1124999998,0.27174362454593126,51029.943750000006,Finance,Chennai,No,Joined,45,1020598.875,907199,Bajaj Finance,Master,7,6.3,2013,1400000,0.3717436245459314,M,Agency,1989-07-27,Chennai,2,2020-02-24,1,2020-02-29,2020-02-29,General,FaceToFace,30,30
15,C16,2019-11-12,2020-02-08,2020-02-18,2020-02-25,2020-03-11,B4,2601334.4499999997,0.30940389513934335,99332.77500000001,IT,Chennai,Yes,Offer Rejected,0,1986655.5,1765916,HCL,Master,13,11.700000000000001,2007,2800000,0.4094038951393435,F,Agency,1983-10-15,Gurugram,4,2020-01-31,2,2020-02-05,2020-02-08,Managerial,Online,20,25
16,C17,2019-08-06,2020-04-10,2020-04-20,2020-04-27,2020-06-11,B5,3228813.4625,0.19062453920670744,135593.26875000002,Finance,Mumbai,Yes,Joined,45,2711865.375,2410547,HSBC,Master,17,15.3,2003,3500000,0.2906245392067075,F,Employee referral,1979-12-29,Hyderabad,5,2020-03-30,3,2020-04-04,2020-04-10,Managerial,FaceToFace,40,25
17,C18,2019-10-06,2020-07-06,2020-07-16,2020-07-23,2020-09-21,B3,2028663.7374999998,0.18402474053033566,85668.13125,Finance,Chennai,Yes,Offer Rejected,60,1713362.625,1522989,JP Morgun,Bachelors,11,9.9,2009,2200000,0.2840247405303358,F,Agency,1987-11-01,Mysore,3,2020-06-28,2,2020-07-03,2020-07-06,Technical,FaceToFace,60,60
18,C19,2019-12-28,2020-05-12,2020-05-22,2020-05-29,2020-06-13,B3,2411846.9,0.28185339492147615,94076.55,IT,Hyderabad,Yes,Offer Rejected,0,1881531.0,1672472,CSE,Bachelors,12,10.8,2008,2600000,0.3818533949214762,M,Direct,1986-03-31,Pune,3,2020-05-07,1,2020-05-12,2020-05-12,General,Online,40,40
19,C20,2019-09-27,2020-05-11,2020-05-21,2020-05-28,2020-06-12,B2,1867839.4999999998,0.41331146598264973,66080.25,IT,NCR,Yes,Offer Rejected,0,1321605.0,1174760,TCS,Bachelors,9,8.1,2011,2000000,0.5133114659826499,M,Agency,1989-03-20,Gurugram,3,2020-04-27,4,2020-05-02,2020-05-11,Managerial,FaceToFace,30,25
20,C21,2019-10-12,2020-06-09,2020-06-19,2020-06-26,2020-08-25,B0,652820.425,0.38369289040861443,23589.787500000002,IT,Pune,Yes,Joined,60,471795.75,419374,Oracle,Diploma,4,3.6,2016,700000,0.4836928904086143,F,Employee referral,1995-12-08,Bangaluru,1,2020-05-29,3,2020-06-03,2020-06-09,Technical,FaceToFace,60,30
21,C22,2019-08-04,2020-03-04,2020-03-14,2020-03-21,2020-05-20,C6,3814247.975,0.33481047947079295,142876.0125,Finance,Mumbai,Yes,Offer Rejected,60,2857520.25,2540018,Bank Of America,Master,18,16.2,2002,4100000,0.4348104794707929,M,Direct,1978-07-06,Delhi,5,2020-02-19,4,2020-02-24,2020-03-04,General,Online,30,15
22,C23,2019-09-23,2020-03-01,2020-03-11,2020-03-18,2020-04-02,B0,560124.375,0.40467861005313394,19937.8125,Manufacturing,Mumbai,No,Joined,0,398756.25,354450,L & T,Bachelors,3,2.7,2017,600000,0.504678610053134,M,Direct,1995-04-04,Mumbai,1,2020-02-22,2,2020-02-27,2020-03-01,Managerial,Online,15,40
23,C24,2019-10-24,2020-02-06,2020-02-16,2020-02-23,2020-04-08,B1,929071.1124999999,0.3098628009638526,35464.44375,IT,Pune,Yes,Joined,45,709288.875,630479,Oracle,Diploma,6,5.4,2014,1000000,0.4098628009638527,F,Employee referral,1993-06-10,Hyderabad,2,2020-01-23,4,2020-01-28,2020-02-06,Technical,Written,20,60
24,C25,2019-09-23,2020-05-09,2020-05-19,2020-05-26,2020-07-25,B0,553872.8624999999,0.20075272934506272,23063.568750000002,Manufacturing,NCR,Yes,Joined,60,461271.375,410019,Mahindra,Master,4,3.6,2016,600000,0.30075272934506286,M,Direct,1992-09-30,Kolkata,1,2020-05-01,2,2020-05-06,2020-05-09,Technical,Written,60,25
25,C26,2019-08-17,2020-02-16,2020-02-26,2020-03-04,2020-04-18,B4,2602441.5624999995,0.31730215901307657,98779.21875,Manufacturing,Mumbai,Yes,Joined,45,1975584.375,1756075,Mahindra,Diploma,13,11.700000000000001,2007,2800000,0.4173021590130768,F,Agency,1986-10-28,Noida,4,2020-02-05,3,2020-02-10,2020-02-16,Technical,Online,40,20
26,C27,2019-07-04,2020-02-06,2020-02-16,2020-02-23,2020-04-23,C6,3592178.9624999994,0.16696993541255264,153910.51875000002,IT,Chennai,Yes,Joined,60,3078210.375,2736187,Oracle,Master,19,17.1,2001,3900000,0.2669699354125528,F,Agency,1977-03-06,Kolkata,6,2020-01-26,3,2020-01-31,2020-02-06,General,Online,40,60
27,C28,2019-07-08,2020-07-06,2020-07-16,2020-07-23,2020-08-22,B1,838475.6625,0.36283574365997845,30762.16875,IT,Chennai,Yes,Joined,30,615243.375,546883,Tech Mahindra,Diploma,5,4.5,2015,900000,0.4628357436599785,F,Agency,1994-03-06,Pune,1,2020-06-25,3,2020-06-30,2020-07-06,Technical,Online,60,25
28,C29,2019-09-27,2020-03-27,2020-04-06,2020-04-13,2020-05-13,B5,2948490.5,0.17231774545295506,125754.75,Finance,Pune,Yes,Offer Rejected,30,2515095.0,2235640,HSBC,Bachelors,16,14.4,2004,3200000,0.27231774545295506,F,Agency,1982-03-28,Chennai,5,2020-03-16,3,2020-03-21,2020-03-27,Technical,FaceToFace,25,40
29,C30,2019-10-30,2020-05-25,2020-06-04,2020-06-11,2020-07-26,B3,2023940.8749999998,0.1495802191451308,88029.5625,IT,NCR,Yes,Offer Rejected,45,1760591.25,1564970,IBM,Diploma,12,10.8,2008,2200000,0.24958021914513093,M,Employee referral,1987-05-13,Mysore,3,2020-05-20,1,2020-05-25,2020-05-25,Technical,Written,40,40
30,C31,2019-10-30,2020-02-21,2020-03-02,2020-03-09,2020-03-24,B2,1479701.1624999999,0.230021165000867,60149.418750000004,IT,NCR,Yes,Offer Rejected,0,1202988.375,1069323,IBM,Bachelors,9,8.1,2011,1600000,0.3300211650008671,M,Employee referral,1989-12-17,Pune,2,2020-02-13,2,2020-02-18,2020-02-21,General,FaceToFace,45,45
31,C32,2019-09-17,2020-07-09,2020-07-19,2020-07-26,2020-09-24,C6,3579228.3,0.11581797895512597,160385.85,IT,NCR,Yes,Joined,60,3207717.0,2851304,CSE,Diploma,20,18.0,2000,3900000,0.21581797895512603,F,Agency,1979-02-15,Noida,6,2020-06-25,4,2020-06-30,2020-07-09,Technical,Written,15,20
32,C33,2019-07-04,2020-04-12,2020-04-22,2020-04-29,2020-05-14,B3,2143320.2375,0.36796239878139964,78339.88125,IT,NCR,Yes,Offer Rejected,0,1566797.625,1392709,Tech Mahindra,Bachelors,11,9.9,2009,2300000,0.4679623987813997,F,Employee referral,1987-09-18,Delhi,3,2020-03-29,4,2020-04-03,2020-04-12,General,FaceToFace,45,15
33,C34,2019-11-21,2020-04-09,2020-04-19,2020-04-26,2020-06-10,B3,1938149.9625,0.1974973824148789,80925.01875,IT,Chennai,Yes,Offer Rejected,45,1618500.375,1438667,IBM,Diploma,11,9.9,2009,2100000,0.29749738241487894,M,Direct,1988-11-07,Hyderabad,3,2020-04-04,1,2020-04-09,2020-04-09,General,FaceToFace,30,30
34,C35,2019-10-30,2020-05-30,2020-06-09,2020-06-16,2020-07-16,B5,3153741.6625,0.2806639135619114,123129.16875000001,IT,Chennai,Yes,Joined,30,2462583.375,2188963,IBM,Master,16,14.4,2004,3400000,0.38066391356191137,F,Employee referral,1980-12-20,Mumbai,5,2020-05-16,4,2020-05-21,2020-05-30,Managerial,Online,40,30
35,C36,2019-10-24,2020-02-02,2020-02-12,2020-02-19,2020-04-04,B3,2210615.7,0.16726449869392562,94692.15000000001,Finance,Chennai,Yes,Joined,45,1893843.0,1683416,Bajaj Finance,Diploma,12,10.8,2008,2400000,0.26726449869392555,M,Employee referral,1987-06-20,Delhi,3,2020-01-25,2,2020-01-30,2020-02-02,Managerial,Written,60,40
36,C37,2019-11-27,2020-05-30,2020-06-09,2020-06-16,2020-08-15,C6,3871881.15,0.18002399130680846,164059.42500000002,Finance,Hyderabad,Yes,Offer Rejected,60,3281188.5,2916612,HSBC,Diploma,20,18.0,2000,4200000,0.2800239913068085,F,Agency,1979-11-20,Noida,6,2020-05-25,1,2020-05-30,2020-05-30,Technical,FaceToFace,45,45
37,C38,2019-09-06,2020-01-31,2020-02-10,2020-02-17,2020-03-18,C6,3118994.3499999996,0.10994008483459305,140502.825,Manufacturing,NCR,Yes,Offer Rejected,30,2810056.5,2497828,L & T,Diploma,18,16.2,2002,3400000,0.20994008483459317,F,Employee referral,1981-08-31,Mumbai,5,2020-01-17,4,2020-01-22,2020-01-31,Managerial,Online,30,30
38,C39,2019-07-20,2020-01-08,2020-01-18,2020-01-25,2020-02-09,B1,1029668.0374999999,0.4640115260540325,35165.981250000004,IT,Mumbai,Yes,Offer Rejected,15,703319.625,625173,Oracle,Bachelors,6,5.4,2014,1100000,0.5640115260540327,M,Agency,1992-06-14,Bangaluru,1,2020-01-03,1,2020-01-08,2020-01-08,Managerial,Written,60,60
39,C40,2019-08-25,2020-05-18,2020-05-28,2020-06-04,2020-07-04,B3,2318124.0625,0.27456336135724385,90937.96875,Finance,NCR,Yes,Offer Rejected,30,1818759.375,1616675,JP Morgun,Diploma,12,10.8,2008,2500000,0.3745633613572439,M,Agency,1987-05-17,Hyderabad,3,2020-05-07,3,2020-05-12,2020-05-18,Managerial,Written,40,40
40,C41,2019-09-16,2020-05-29,2020-06-08,2020-06-15,2020-08-14,C6,3518458.7375,0.24971334796795544,140770.63125,IT,NCR,Yes,Offer Rejected,60,2815412.625,2502589,Tech Mahindra,Master,18,16.2,2002,3800000,0.3497133479679555,F,Direct,1978-10-29,Mysore,5,2020-05-24,1,2020-05-29,2020-05-29,Technical,Written,45,45
41,C42,2019-10-04,2020-02-11,2020-02-21,2020-02-28,2020-04-28,B3,2418542.9,0.33284555963916534,90728.55,IT,Mumbai,Yes,Offer Rejected,60,1814571.0,1612952,TCS,Bachelors,12,10.8,2008,2600000,0.4328455596391654,M,Direct,1986-11-09,Gurugram,3,2020-02-03,2,2020-02-08,2020-02-11,Technical,Online,20,20
42,C43,2019-08-19,2020-01-15,2020-01-25,2020-02-01,2020-03-02,B4,2890261.525,0.3780311528440358,104869.2375,IT,Chennai,Yes,Offer Rejected,30,2097384.75,1864342,Accenture,Bachelors,15,13.5,2005,3100000,0.4780311528440359,F,Direct,1983-05-01,Mumbai,4,2020-01-04,3,2020-01-09,2020-01-15,General,Written,30,25
43,C44,2019-12-27,2020-03-01,2020-03-11,2020-03-18,2020-04-02,B2,1393797.1874999998,0.31239197408260705,53101.40625,IT,Hyderabad,Yes,Joined,0,1062028.125,944025,TCS,Master,8,7.2,2012,1500000,0.41239197408260725,M,Direct,1988-06-24,Chennai,2,2020-02-19,3,2020-02-24,2020-03-01,General,FaceToFace,30,40
44,C45,2019-11-01,2020-01-26,2020-02-05,2020-02-12,2020-02-27,B2,1868659.4,0.422758385449739,65670.3,Finance,NCR,Yes,Offer Rejected,0,1313406.0,1167472,Bank Of America,Diploma,9,8.1,2011,2000000,0.5227583854497391,F,Direct,1990-11-12,Mysore,2,2020-01-21,1,2020-01-26,2020-01-26,General,Online,45,45
45,C46,2019-09-26,2020-06-05,2020-06-15,2020-06-22,2020-07-07,B5,3258811.2499999995,0.35114562764639706,120594.375,IT,Mumbai,Yes,Joined,0,2411887.5,2143900,Oracle,Diploma,16,14.4,2004,3500000,0.45114562764639726,M,Direct,1983-11-04,Gurugram,5,2020-05-25,3,2020-05-30,2020-06-05,Technical,Online,25,45
46,C47,2019-07-16,2020-07-02,2020-07-12,2020-07-19,2020-08-03,B5,3045195.8249999997,0.19511221705845272,127402.08750000001,Manufacturing,Hyderabad,Yes,Offer Rejected,15,2548041.75,2264926,L & T,Bachelors,16,14.4,2004,3300000,0.2951122170584528,F,Agency,1982-01-22,Gurugram,5,2020-06-18,4,2020-06-23,2020-07-02,Technical,FaceToFace,60,40
47,C48,2019-10-11,2020-02-01,2020-02-11,2020-02-18,2020-04-03,B5,3636465.0375,0.37987954349700376,131767.48125,IT,Mumbai,Yes,Joined,45,2635349.625,2342533,Oracle,Bachelors,17,15.3,2003,3900000,0.47987954349700374,F,Agency,1981-10-28,Hyderabad,5,2020-01-27,1,2020-02-01,2020-02-01,Managerial,Online,25,25
48,C49,2019-08-23,2020-06-17,2020-06-27,2020-07-04,2020-08-18,B2,1473996.0624999998,0.16980158854162772,63001.96875,IT,Pune,Yes,Offer Rejected,45,1260039.375,1120035,Accenture,Master,9,8.1,2011,1600000,0.2698015885416279,F,Direct,1987-03-16,Mumbai,2,2020-06-12,1,2020-06-17,2020-06-17,Technical,Written,60,60
49,C50,2019-07-13,2020-01-28,2020-02-07,2020-02-14,2020-04-14,B2,1392930.6,0.3009604985177839,53534.700000000004,Finance,Chennai,Yes,Offer Rejected,60,1070694.0,951728,JP Morgun,Bachelors,8,7.2,2012,1500000,0.4009604985177838,M,Employee referral,1990-08-06,Hyderabad,2,2020-01-17,3,2020-01-22,2020-01-28,Managerial,Online,45,30
50,C51,2019-11-20,2020-05-29,2020-06-08,2020-06-15,2020-08-14,B3,1847645.4125,0.21272712743224756,76177.29375,IT,Hyderabad,Yes,Joined,60,1523545.875,1354263,IBM,Diploma,10,9.0,2010,2000000,0.3127271274322475,F,Employee referral,1989-04-17,Gurugram,3,2020-05-15,4,2020-05-20,2020-05-29,General,Online,15,15
51,C52,2019-12-21,2020-02-27,2020-03-08,2020-03-15,2020-03-30,B4,2398318.1,0.18915881891235659,100840.95000000001,Finance,Chennai,Yes,Joined,15,2016819.0,1792728,Bajaj Finance,Diploma,14,12.6,2006,2600000,0.28915881891235656,M,Employee referral,1985-11-15,Mumbai,4,2020-02-19,2,2020-02-24,2020-02-27,Managerial,Online,45,45
52,C53,2019-08-26,2020-04-05,2020-04-15,2020-04-22,2020-06-06,B3,1844608.7,0.1870733432309273,77695.65000000001,IT,Hyderabad,Yes,Offer Rejected,45,1553913.0,1381256,Infosys,Master,10,9.0,2010,2000000,0.28707334323092737,F,Direct,1986-08-28,Bangaluru,3,2020-03-22,4,2020-03-27,2020-04-05,General,Written,60,15
53,C54,2019-10-01,2020-02-24,2020-03-05,2020-03-12,2020-04-26,B5,3438765.3249999997,0.3163510261415334,130617.33750000001,Manufacturing,Chennai,Yes,Joined,45,2612346.75,2322086,L & T,Diploma,17,15.3,2003,3700000,0.41635102614153346,F,Employee referral,1982-03-06,Mysore,5,2020-02-10,4,2020-02-15,2020-02-24,General,Written,25,60
54,C55,2019-08-21,2020-04-14,2020-04-24,2020-05-01,2020-05-16,B0,554000.6625,0.204366611801746,22999.66875,Manufacturing,Chennai,Yes,Joined,0,459993.375,408883,Mahindra,Bachelors,4,3.6,2016,600000,0.30436661180174607,F,Agency,1994-02-06,Pune,1,2020-04-06,2,2020-04-11,2020-04-14,General,FaceToFace,40,30
55,C56,2019-09-13,2020-04-18,2020-04-28,2020-05-05,2020-06-19,B2,1203437.425,0.2462772714998539,48281.287500000006,IT,NCR,Yes,Joined,45,965625.75,858334,HCL,Master,7,6.3,2013,1300000,0.3462772714998539,F,Agency,1989-02-23,Pune,2,2020-04-13,1,2020-04-18,2020-04-18,General,Written,45,45
56,C57,2019-08-14,2020-03-24,2020-04-03,2020-04-10,2020-05-25,C6,3318169.5,0.1773635216912293,140915.25,Manufacturing,Pune,Yes,Offer Rejected,45,2818305.0,2505160,L & T,Diploma,18,16.2,2002,3600000,0.2773635216912293,F,Agency,1981-03-05,Chennai,6,2020-03-19,1,2020-03-24,2020-03-24,Managerial,FaceToFace,15,15
57,C58,2019-10-02,2020-05-20,2020-05-30,2020-06-06,2020-06-21,C6,4264755.5125,0.2721329273162173,167622.24375000002,Manufacturing,Chennai,Yes,Joined,0,3352444.875,2979951,Mahindra,Bachelors,20,18.0,2000,4600000,0.3721329273162172,M,Direct,1978-10-04,Kolkata,6,2020-05-09,3,2020-05-14,2020-05-20,Technical,FaceToFace,20,15
58,C59,2019-07-11,2020-03-03,2020-03-13,2020-03-20,2020-05-19,B3,2517370.2,0.3784005677058181,91314.90000000001,IT,NCR,Yes,Joined,60,1826298.0,1623376,Oracle,Bachelors,12,10.8,2008,2700000,0.478400567705818,M,Employee referral,1986-10-20,Noida,3,2020-02-27,1,2020-03-03,2020-03-03,General,Written,30,30
59,C60,2019-08-26,2020-04-23,2020-05-03,2020-05-10,2020-05-25,B2,1570082.525,0.20852296813804294,64958.7375,IT,Chennai,Yes,Joined,0,1299174.75,1154822,IBM,Diploma,9,8.1,2011,1700000,0.30852296813804303,F,Agency,1990-06-17,Bangaluru,2,2020-04-12,3,2020-04-17,2020-04-23,Managerial,Online,25,30
60,C61,2019-09-22,2020-06-29,2020-07-09,2020-07-16,2020-07-31,B3,1754594.9874999998,0.20669498068369535,72702.50625,Finance,Hyderabad,Yes,Joined,0,1454050.125,1292489,JP Morgun,Bachelors,10,9.0,2010,1900000,0.3066949806836955,M,Direct,1988-05-06,Delhi,3,2020-06-24,1,2020-06-29,2020-06-29,General,Written,45,45
61,C62,2019-11-01,2020-06-12,2020-06-22,2020-06-29,2020-08-28,B5,3124934.5749999997,0.13606956417732244,137532.7125,IT,Chennai,Yes,Joined,60,2750654.25,2445026,IBM,Bachelors,17,15.3,2003,3400000,0.23606956417732253,M,Employee referral,1981-11-19,Kolkata,5,2020-06-04,2,2020-06-09,2020-06-12,Managerial,FaceToFace,40,15
62,C63,2019-10-19,2020-05-13,2020-05-23,2020-05-30,2020-06-14,C6,4010924.9499999997,0.387502985816313,144537.525,IT,Pune,Yes,Offer Rejected,0,2890750.5,2569556,CSE,Bachelors,18,16.2,2002,4300000,0.4875029858163131,M,Agency,1980-05-31,Mumbai,5,2020-05-02,3,2020-05-07,2020-05-13,Managerial,Online,30,45
63,C64,2019-07-18,2020-05-29,2020-06-08,2020-06-15,2020-07-15,B3,1859526.2,0.32375304149243483,70236.90000000001,IT,NCR,Yes,Offer Rejected,30,1404738.0,1248656,Oracle,Master,10,9.0,2010,2000000,0.42375304149243487,M,Direct,1986-10-18,Noida,3,2020-05-15,4,2020-05-20,2020-05-29,General,Written,25,25
64,C65,2019-08-04,2020-05-11,2020-05-21,2020-05-28,2020-06-12,B5,3436463.0124999997,0.3039774967071746,131768.49375,IT,Hyderabad,Yes,Offer Rejected,0,2635369.875,2342551,Accenture,Bachelors,17,15.3,2003,3700000,0.40397749670717475,F,Employee referral,1981-08-04,Pune,5,2020-05-03,2,2020-05-08,2020-05-11,Managerial,FaceToFace,45,60
